
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


24/09/2021 20:40:25 CHANNEL has been initialised

24/09/2021 20:40:25 SENDER-1 starts sending data to RECEIVER1
24/09/2021 20:40:25 SENDER-2 starts sending data to RECEIVER2
24/09/2021 20:40:25 SENDER-3 starts sending data to RECEIVER3
24/09/2021 20:40:38 SENDER-9    ||  PACKET 4 SENT TO CHANNEL
24/09/2021 20:40:38 SENDER-2    ||  COLLISION
24/09/2021 20:40:38 SENDER-6    ||  COLLISION
24/09/2021 20:40:38 SENDER-8    ||  COLLISION
24/09/2021 20:40:38 SENDER-1    ||  COLLISION
24/09/2021 20:40:38 SENDER-4    ||  COLLISION
24/09/2021 20:40:38 SENDER-7    ||  COLLISION
24/09/2021 20:40:38 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-4    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:39 RECEIVER-9  ||  PACKET RECEIVED

24/09/2021 20:40:39 SENDER-9    ||  PACKET 5 SENT TO CHANNEL
24/09/2021 20:40:39 SENDER-2    ||  COLLISION
24/09/2021 20:40:39 SENDER-5    ||  COLLISION
24/09/2021 20:40:39 SENDER-3    ||  COLLISION
24/09/2021 20:40:39 SENDER-6    ||  COLLISION
24/09/2021 20:40:39 SENDER-1    ||  COLLISION
24/09/2021 20:40:39 SENDER-8    ||  COLLISION
24/09/2021 20:40:39 SENDER-7    ||  COLLISION
24/09/2021 20:40:39 SENDER-4    ||  COLLISION
24/09/2021 20:40:39 SENDER-2    ||  PACKET 3 SENT TO CHANNEL
24/09/2021 20:40:39 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:39 SENDER-3    ||  COLLISION
24/09/2021 20:40:39 SENDER-6    ||  COLLISION
24/09/2021 20:40:40 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-1    ||  COLLISION
24/09/2021 20:40:40 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-1    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:40 RECEIVER-9  ||  PACKET RECEIVED

24/09/2021 20:40:40 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:40 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-8    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:41 RECEIVER-2  ||  PACKET RECEIVED

24/09/2021 20:40:41 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-2    ||  PACKET 4 SENT TO CHANNEL
24/09/2021 20:40:41 SENDER-3    ||  PACKET 2 SENT TO CHANNEL
24/09/2021 20:40:41 SENDER-6    ||  COLLISION
24/09/2021 20:40:41 SENDER-1    ||  COLLISION
24/09/2021 20:40:41 SENDER-6    ||  FOUND CHANNEL BUSY
